anchor_player_id,anchor_player_name,partner_player_id,partner_player_name,pair_key,ball_companion_fit_score,ball_companion_rank_for_anchor,ball_CB_pair_fit_z_score,ball_coverage_gain_raw,ball_coverage_gain_z_within_anchor,ground_companion_fit_score,ground_companion_rank_for_anchor,ground_CB_pair_fit_z_score,ground_coverage_gain_raw,ground_coverage_gain_z_within_anchor,aerial_companion_fit_score,aerial_companion_rank_for_anchor,aerial_CB_pair_fit_z_score,aerial_coverage_gain_raw,aerial_coverage_gain_z_within_anchor,ground_companion_fit_score_z_within_anchor,aerial_companion_fit_score_z_within_anchor,ball_companion_fit_score_z_within_anchor,global_companion_fit_score_z_within_anchor,global_companion_rank_for_anchor,global_companion_rank_for_anchor_z_score
578325,W. Saliba,412968,M. Senesi,412968__578325,1.4233021972449231,5,1.3946447261607529,0.1556898033376796,1.4765232149726677,0.134837892775228,34,0.8506111252058912,0.0,-1.1944552531674322,0.8088419044163508,17,0.7577926421099325,0.153532615665537,0.9036476772711276,-0.08652435118846465,0.691695138700078,1.6511967228074929,0.752122503439702,4,1.5366965796245595
578325,W. Saliba,399581,D. O'Shea,399581__578325,0.0808870201251756,49,0.3948627622596595,0.0212272938324517,-0.5022107866960088,0.6924328073742947,14,0.4685778024388759,0.1490245527887217,1.108163530825787,1.358874488856767,8,1.1334814388823613,0.2308872817366328,1.7774615816663777,1.0629583117158536,1.696350963850519,-0.6277207884846541,0.7105294956939061,5,1.4808167040018483
578325,W. Saliba,590781,J. van Hecke,578325__590781,1.4737516172125749,3,1.4722592184186785,0.1556898033376796,1.4765232149726677,-0.3180819825714411,61,0.1538113169802463,0.0,-1.1944552531674322,1.1717263576198893,12,1.0658323261742582,0.1946737921410371,1.368386701733204,-1.0202192805443582,1.3545176515487891,1.7368409173595019,0.6903797627879776,6,1.424936828379137
578325,W. Saliba,283145,T. Adarabioyo,283145__578325,0.5381333193926154,32,0.8293732202930642,0.0551681823802682,-0.0027407822796464,1.064860582998258,2,0.7008630129485769,0.1899721570527955,1.7408560702333804,0.419815676590097,30,0.6510433163006499,0.0726864347414306,-0.0096070828723585,1.8307186697377449,-0.01887633829627624,0.14851194199582554,0.6534514244790981,7,1.3690569527564258
578325,W. Saliba,777938,Dean Huijsen,578325__777938,1.2405539786562718,9,1.1134936206397508,0.1556898033376796,1.4765232149726677,0.1503220447507114,33,0.3660680026783262,0.0611021720855587,-0.2503490199720016,0.7660493081158444,20,0.8647566684832366,0.1251237708938301,0.582735638862116,-0.05460375116220394,0.6135328036625031,1.3409587855452771,0.633295946015192,8,1.3131770771337146
578325,W. Saliba,620468,J. Greaves,578325__620468,-0.0551284986777697,69,0.3538118096848813,0.0,-0.8145890713512648,0.5538978731579662,18,0.3836602627469727,0.1336141640871885,0.8700534353498113,1.467602527139766,3,1.3007553439331292,0.2308872817366328,1.7774615816663777,0.7773683593706779,1.8949469381768875,-0.8586241281448762,0.6045637231342297,9,1.2572972015110033
578325,W. Saliba,7919,M. Keane,7919__578325,-0.206226902714766,83,0.1213527265510409,0.0,-0.8145890713512648,0.7597419904328122,11,0.2314497936171218,0.1899721570527955,1.7408560702333804,1.359860577137128,7,1.1639568145381012,0.2261264131785668,1.7236818505353204,1.2017162826985188,1.6981520922981819,-1.1151325502464617,0.5949119415834131,10,1.201417325888292
578325,W. Saliba,62126,M. Doherty,62126__578325,0.7981488014423416,27,0.7201996546762293,0.1194288557372078,0.9429115025794071,0.4276854341728144,25,0.2523876576347654,0.1260539455186314,0.7532384477434771,0.7832952962967864,19,1.193995892437326,0.0753574830840711,0.0205656177500702,0.5171812474408304,0.6450332692287135,0.5899207142964774,0.5840450769886738,11,1.1455374502655808
578325,W. Saliba,397074,M. Guéhi,397074__578325,0.964164255174468,21,0.6882786614369758,0.1556898033376796,1.4765232149726677,0.563030582802764,17,0.4671763225331031,0.1252648317959871,0.7410456375892772,0.4449857199853332,28,0.6584770672465338,0.0778305419529209,0.0485017893573892,0.7961954525294855,0.02709772111702157,0.8717526922893077,0.5650152886452716,12,1.0896575746428696
578325,W. Saliba,349142,N. Mazraoui,349142__578325,1.2214686351456447,10,1.0841315537003249,0.1556898033376796,1.4765232149726677,0.7834779195062703,9,1.346359169854171,0.0603563464600285,-0.2618729739969741,-0.0444141474608413,51,0.3789639219544239,0.0,-0.8306877049463341,1.2506479322589976,-0.8668100973768031,1.308559030032446,0.5641322883048802,13,1.0337776990201584
