player.id,player.name,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score,CB_aerial_duels_quality_z_score,CB_rank_for_aerial_duels_quality,CB_rank_for_aerial_duels_quality_z_score,CB_ball_passing_quality_z_score,CB_rank_for_ball_passing_quality,CB_rank_for_ball_passing_quality_z_score,global_quality_z_score,global_quality_rank,global_quality_rank_z_score
619747,L. Colwill,0.408749137863116,29,0.3952419717289855,-0.708061695169742,50,-0.8991060050915066,0.5360967089238176,26,0.7282956597405345,0.07892805053906383,28,0.21997067253202995
365443,M. de Ligt,0.4457162616477867,28,0.4417410272265132,0.6540914582389603,21,0.6346630624175341,-0.9298850501857596,73,-1.1219689893300129,0.05664088990032915,29,0.16497800439902247
192792,D. Burn,-0.1698865712149148,44,-0.3022438607339301,1.0111108722457416,11,1.1635489477654792,-0.6749212671548093,68,-0.9251323245352736,0.05543434462533917,30,0.10998533626601498
590874,Toti,-0.0322422635565832,41,-0.1627466942413469,0.4534222217480069,26,0.3702201197435615,-0.3512210597315502,57,-0.4920916619868476,0.02331963281995782,31,0.05499266813300749
625787,M. van de Ven,-1.1093895909220086,65,-1.278724026182012,0.3800367381999995,29,0.211554354139178,0.7227031462791913,20,0.9644996574942214,-0.002216568814272605,32,0.0
627012,Murillo,0.254372625942196,33,0.2092457497388747,0.3999489948364893,28,0.2644429426739725,-0.6756768461128754,69,-0.9644996574942214,-0.007118408444730033,33,-0.05499266813300749
234399,A. Webster,-1.540815332295186,68,-1.4182211926745951,0.2641937392560085,32,0.0528885885347945,1.2519701411987243,11,1.3188056541247517,-0.008217150613484417,34,-0.10998533626601498
400549,Pau Torres,0.9752281598317368,12,1.1857259151869566,-1.7167468722215224,61,-1.4808804789742462,0.7086376749394122,21,0.9251323245352736,-0.010960345816791136,35,-0.16497800439902247
8360,C. Dawson,-1.0237765976193984,62,-1.1392268596894288,0.9982978699062272,12,1.1106603592306847,-0.1204353339731529,49,-0.1771529983152651,-0.04863802056210806,36,-0.21997067253202995
604320,J. Branthwaite,-0.3011473111918116,48,-0.4882400827240409,0.2773188419994668,31,0.105777177069589,-0.2481174872831674,54,-0.3739896631100042,-0.09064865215850405,37,-0.2749633406650374
9433,J. Tarkowski,0.0242359839913069,40,-0.1162476387438192,0.4579071236027188,25,0.423108708278356,-0.8948849099305147,70,-1.0038669904531692,-0.1375806007788297,38,-0.32995600879804493
415847,C. Romero,-0.5520007051769191,55,-0.8137334712067349,-1.1689397332401834,56,-1.2164375363002735,1.2943105069750718,9,1.3975403200426473,-0.1422099771473436,39,-0.3849486769310524
769441,L. Yoro,-0.5315650024353652,53,-0.7207353602116795,-0.0547668787314759,36,-0.1586657656043835,0.1001889950299479,42,0.0984183323973695,-0.16204762871229775,40,-0.4399413450640599
15806,J. Vestergaard,-0.2330007068558257,46,-0.3952419717289855,-0.5875124972009799,43,-0.5288858853479451,0.1040710752672209,41,0.1377856653563173,-0.23881404292986153,41,-0.49493401319706737
488453,L. Martínez,0.5201509284075273,26,0.5347391382215686,-2.103611134925633,65,-1.6924348331134242,0.8341526664629187,17,1.0826016563710648,-0.24976918001839554,42,-0.5499266813300748
412027,E. Konsa,-0.0768177217499127,43,-0.2557448052364024,-0.6586983794685076,48,-0.7933288280219176,-0.1272086943136156,50,-0.2165203312742129,-0.287574931844012,43,-0.6049193494630823
583655,C. Okoli,1.0683549037112343,9,1.3252230816795396,-1.0243916707092806,54,-1.1106603592306847,-1.0790898085741305,77,-1.2794383211658038,-0.34504219185739227,44,-0.6599120175960899
7919,M. Keane,-0.2677460627795929,47,-0.4417410272265132,0.7089536075234752,19,0.7404402394871231,-1.5153408117055542,83,-1.5156423189194907,-0.3580444223205573,45,-0.7149046857290974
545267,R. Drăgușin,-0.7074591336584436,58,-0.953230637699318,-0.0461777238035439,35,-0.105777177069589,-0.3978720365226764,58,-0.5314589949457954,-0.38383629799488794,46,-0.7698973538621048
549884,T. Harwood-Bellis,-0.8022672553248898,59,-0.9997296931968458,-1.265216867786342,60,-1.4279918904394515,0.8834623777070658,16,1.1219689893300129,-0.394673915134722,47,-0.8248900219951123
424241,N. Milenković,0.6474867507931356,21,0.7672344157092073,-0.4656968856095134,40,-0.3702201197435615,-1.37287434293779,81,-1.4369076530015952,-0.3970281592513893,48,-0.8798826901281198
534563,C. Richards,1.0787248267148883,8,1.3717221371770674,-0.5150068619870736,41,-0.423108708278356,-1.8915163473796408,85,-1.5943769848373863,-0.44259946088394203,49,-0.9348753582611272
366217,K. Danso,-1.4640561745493104,67,-1.3717221371770674,0.7420131329596207,18,0.7933288280219176,-0.6304525279913662,65,-0.8070303256584301,-0.4508318565270186,50,-0.9898680263941347
136441,B. Davies,-2.4632546866483067,74,-1.6972155256597614,0.8760175185520743,14,1.0048831821610955,0.0294233413668458,45,-0.0196836664794739,-0.5192712755764622,51,-1.0448606945271421
286380,I. Diop,0.0359997308690078,38,-0.0232495277487638,-1.0761272728880786,55,-1.1635489477654792,-0.5338529681011476,61,-0.6495609938226389,-0.5246601700400727,52,-1.0998533626601497
501419,J. Todibo,0.5205526918650784,25,0.5812381937190964,-1.2149615853349027,57,-1.2693261248350682,-0.9223554155838002,72,-1.0826016563710648,-0.5389214363512081,53,-1.1548460307931572
364003,S. Bueno,0.1437132124812024,35,0.1162476387438192,-0.6580106153395396,47,-0.7404402394871231,-1.189642891690374,80,-1.3975403200426473,-0.5679800981829038,54,-1.2098386989261647
504375,M. Lacroix,0.1919346668158604,34,0.1627466942413469,-0.9327006911308088,53,-1.0577717706958902,-1.1721066771274196,79,-1.3581729870836994,-0.6376242338141226,55,-1.2648313670591722
285382,W. Faes,-0.4922476322230507,51,-0.6277372492166241,-1.260463837559094,59,-1.3751033019046572,-0.1985863904946362,52,-0.2952549971921085,-0.6504326200922602,56,-1.3198240351921797
288080,C. Burgess,0.3208191284648136,31,0.3022438607339301,-0.698288751478973,49,-0.8462174165567121,-1.690358229388612,84,-1.5550096518784384,-0.6892759508009237,57,-1.3748167033251872
297957,M. Akanji,-2.163180865018025,73,-1.6507164701622337,-1.862065428070246,63,-1.5866576560438352,1.931473498918012,3,1.6337443177963342,-0.6979242647234196,58,-1.4298093714581948
7953,C. Coady,-0.5483139084800416,54,-0.7672344157092073,-1.7216775461343077,62,-1.5337690675090407,0.0353587138364559,43,0.0590509994384217,-0.7448775802592978,59,-1.484802039591202
558243,S. van den Berg,-0.6416496488892923,57,-0.9067315822017904,-0.572970923970628,42,-0.4759972968131505,-1.023626552033324,76,-1.240070988206856,-0.7460823749644149,60,-1.5397947077242096
50102,F. Schär,-1.0269559069877496,63,-1.1857259151869566,-0.9005208713959747,52,-1.0048831821610955,-0.4440753347813999,59,-0.5708263279047433,-0.7905173710550414,61,-1.594787375857217
557788,W. Fofana,-1.854479278730256,71,-1.5577183591671782,-0.8322395853303625,51,-0.9519945936263012,-0.3231423032144683,56,-0.4527243290278998,-1.0032870557583624,62,-1.6497800439902246
518805,L. Woolfenden,-1.6231055795758424,69,-1.4647202481721229,-1.880895099669418,64,-1.6395462445786295,-0.9677607950793772,75,-1.2007036552479082,-1.4905871581082124,63,-1.7047727121232321
