pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band,ball_quality_raw,ball_complement_raw,ball_floor_raw,ball_quality_z,ball_complement_z,ball_floor_z,ball_CB_pair_fit_z_score,ball_CB_pair_fit_rank,ball_CB_pair_fit_rank_z_score,ground_quality_raw,ground_complement_raw,ground_floor_raw,ground_quality_z,ground_complement_z,ground_floor_z,ground_CB_pair_fit_z_score,ground_CB_pair_fit_rank,ground_CB_pair_fit_rank_z_score,aerial_quality_raw,aerial_complement_raw,aerial_floor_raw,aerial_quality_z,aerial_complement_z,aerial_floor_z,aerial_CB_pair_fit_z_score,aerial_CB_pair_fit_rank,aerial_CB_pair_fit_rank_z_score,global_CB_pair_fit_z_score,global_CB_pair_fit_rank,global_CB_pair_fit_rank_z_score
479155__488453,N. Collins + L. Martínez,479155,N. Collins,488453,L. Martínez,1669,1611,False,right,left,True,0,0.0,none,0.0833865570482535,0.4802564146421013,-0.3968698575938478,0.1755346620860133,-0.3183034776054406,0.3133670524792307,0.0549496982572206,1769,0.1316684436260753,0.1810644744299575,0.2334799662722877,-0.0524154918423302,0.4280965442770273,-1.1695531627978029,0.9079128078378372,0.0447648848667402,1300,0.065396700128806,-0.4174348402031549,0.9877436881256084,-1.405178528328763,-0.9331182372852156,2.019977614980952,-1.665508865083229,-0.193667607164968,1376,-0.5586186615916761,-0.03131767468033574,988,-0.019511071562554858
9433__424806,J. Tarkowski + E. Pinnock,9433,J. Tarkowski,424806,E. Pinnock,1623,1669,False,right,left,True,0,0.0,none,-0.6226633070725995,0.3081078852745784,-0.930771192347178,-1.310750762105463,-0.9812580726323524,-0.6942642052099314,-1.0886056438844234,3595,-1.5207479004372475,0.3565629735111173,0.3418690971004077,0.0146938764107096,0.8430332745162458,-0.7545753772047353,1.033142109812799,0.4017724460592621,691,0.8463102369610189,0.532163448117856,0.2944406652492251,0.2377227828686309,1.1895782786450904,-0.960497461421717,1.418262452553368,0.5902923914067038,379,1.1014195071323212,-0.03218026880615251,989,-0.021284805340968938
397074__625787,M. Guéhi + M. van de Ven,397074,M. Guéhi,625787,M. van de Ven,1628,1624,False,left,left,False,0,0.0,none,0.2173253193742983,0.3687979218825163,-0.151472602508218,0.4574853291643547,-0.747537001709428,0.7765049558329344,0.1597825552359358,1545,0.3343745011672496,-0.0965710281189967,0.5760335397905995,-0.6726045679095961,-0.2283259791584014,0.1419447918360558,-0.2493897731603393,-0.1214575066604518,1599,-0.318007482979292,0.0238972716981154,0.3303018118029246,-0.3064045401048092,0.0534190678286931,-0.8063321830545659,0.3969203790572241,-0.1358060451905783,1305,-0.4404012995260755,-0.032493665538364774,990,-0.023058539119383017
534563__590703,C. Richards + I. Zabarnyi,534563,C. Richards,590703,I. Zabarnyi,1628,1659,False,right,right,False,0,0.0,none,-0.5413788078961492,0.7367324274952429,-1.2781112353913922,-1.1396410820701972,0.6694014528977258,-1.3497985926265683,-0.6389598236910945,3117,-1.0881876526484917,0.6266929995315581,0.2057473536558836,0.4209456458756744,1.4817103590679588,-1.2757300283593085,1.7912274090867364,0.7163816528435341,333,1.305369426100481,-0.0545317602145203,0.4154564232624618,-0.4699881834769821,-0.1218982582830616,-0.4402567604450834,0.0898693443861641,-0.175052288397823,1354,-0.5219879296840252,-0.0325434864151278,991,-0.024832272897797093
415847__625787,C. Romero + M. van de Ven,415847,C. Romero,625787,M. van de Ven,1624,1624,True,right,left,True,11,859.0,high,0.6814553349574352,0.4453392802572925,0.2361160547001424,1.4345121825721223,-0.4527715138450129,1.5080004976250367,0.8830247366575648,425,1.3479047888731213,-0.5036367347327015,0.6434195136982782,-1.1470562484309796,-1.1907644853515302,0.3999382088751192,-1.134739379619331,-0.7023486559370956,2329,-1.2540778965876918,-0.2534210020525386,0.6267810367345589,-0.8802020387870974,-0.5664878346312271,0.46821720072545,-0.6801134369779152,-0.2788014444935616,1459,-0.6968164228796317,-0.03270845459103081,992,-0.026606006676211172
9433__234399,J. Tarkowski + A. Webster,9433,J. Tarkowski,234399,A. Webster,1623,1651,False,right,left,True,0,0.0,none,0.1206425328304691,0.8038915908290235,-0.6832490579985544,0.2539611537306029,0.928035529493517,-0.2271160201340489,0.3599680316865468,1177,0.6673915956991788,-0.4597384929575472,0.4744323693682569,-0.9341708623258042,-1.0869744643496433,-0.2470446611967127,-0.7374850320280953,-0.7650976369394547,2385,-1.3258860379055963,0.2319620097770565,0.4742935801038174,-0.2423315703267608,0.5185192054763904,-0.1873187611204756,0.5171871200298365,0.3065013984080198,683,0.5952493934993269,-0.03287606894829601,993,-0.02837974045462525
240032__412027,J. Bednarek + E. Konsa,240032,J. Bednarek,412027,E. Konsa,1619,1614,False,center,right,False,0,0.0,none,-0.1225311893857119,0.2300730309425364,-0.3526042203282484,-0.257936910758554,-1.281775105462973,0.396909529051153,-0.4341190812079382,2756,-0.7615051224147241,0.2497055959933698,0.4015528948810137,-0.1518472988876438,0.590386949554531,-0.5260704519456171,0.7223682838088888,0.2818459959553581,877,0.60780462472655,0.0578566452816898,0.4810468332382957,-0.4231901879566058,0.1293305820717143,-0.1582868631079099,0.1777104796540166,0.0527213280342875,1048,-0.0124877495139718,-0.03318391907276419,994,-0.030153474233039327
415847__769441,C. Romero + L. Yoro,415847,C. Romero,769441,L. Yoro,1624,1611,False,right,right,False,0,0.0,none,0.471136684525464,0.6387819524265081,-0.1676452679010442,0.9917763922864168,0.2921881373354875,0.7459823065919684,0.7327410986622482,615,1.1759666150658752,-0.3284739871970972,0.5774503775335378,-0.9059243647306348,-0.7766215832602159,0.147369285829292,-0.6847757118666699,-0.4810551482546543,2111,-0.9745390607429916,-0.3930939009914376,0.7748182713358417,-1.1679121723272794,-0.8787074116817503,1.10462188028123,-1.2201533356362029,-0.3519978088837467,1540,-0.8316841176305282,-0.033437286158717584,995,-0.031927208011453406
496001__625787,M. Kilman + M. van de Ven,496001,M. Kilman,625787,M. van de Ven,1633,1624,False,left,left,False,0,0.0,none,0.195744445985564,0.431525680704295,-0.2357812347187309,0.4120560483317091,-0.5059685369689821,0.6173893897563276,0.1777153410264254,1515,0.3615226338736569,-0.3980041166941272,0.4380847072043156,-0.8360888238984427,-0.941013898508821,-0.3862050386352601,-0.5544592410203926,-0.697260309049067,2326,-1.2502310318742325,0.4534895228322637,0.2342021174082503,0.2192874054240133,1.0137135270420068,-1.2194599706775398,1.383658737889532,0.4177505198956479,555,0.808373651871114,-0.03393148270899791,996,-0.03370094178986748
192792__620468,D. Burn + J. Greaves,192792,D. Burn,620468,J. Greaves,1613,1634,False,left,left,False,0,0.0,none,-0.4303276664452466,0.2297052189393436,-0.6600328853845903,-0.9058704926744736,-1.283191572153212,-0.1833001693635214,-0.8745527518559046,3411,-1.3542393531712829,0.0646454766374855,0.2389359587356783,-0.1742904820981927,0.1528433738245805,-1.148664392370622,0.6804882268106485,-0.1320799854367666,1618,-0.3423709594978668,0.7251772875409443,0.3217733289865091,0.4034039585544352,1.6210342000685916,-0.8429957048266139,1.7292506135402368,0.903468511294359,152,1.4793820590885371,-0.03438807533277074,997,-0.035474675568281565
