pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,card_discipline,discipline,possession_win_rate,duel_success_rate,interceptions_per90,duels_per90,z_card_discipline,z_discipline,z_possession_win_rate,z_duel_success_rate,z_interceptions_per90,z_duels_per90,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,CB_pair_fit_rank_z_score,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
8582__349142,N. Mazraoui + A. Cresswell,349142,N. Mazraoui,8582,A. Cresswell,1.0,0.9855769230769231,0.30865384615384617,0.7294871794871796,5.041228577096577,7.102096792278698,0.6035634646002853,0.5402023348986142,0.5448425819956674,0.8749375853884005,1.483441706133635,1.2745239867300953,0.8300276553191084,0.7969690815409138,0.033058573778194544,1.9624610074127369,0.9878168933453733,1.0674115164869913,1.4910578750073786,25,1.7003142033489562,1611,1633,False,right,left,True,0,0.0,none
424806__623641,E. Pinnock + E. Agbadou,424806,E. Pinnock,623641,E. Agbadou,1.0,0.9788732394366197,0.3975319808760822,0.7426670112417625,3.572781495581493,4.817709149978363,0.6035634646002853,0.1888426103358154,1.8623163106222762,1.0647739595673202,0.16324555359102394,-0.15730239591934192,0.9527627015715902,0.5466582049770897,0.40610449659450043,2.252647413817344,0.029478612812110144,1.763533112249075,1.4878739132021201,26,1.6990319151111366,1669,1629,False,left,center,False,0,0.0,none
501419__568412,J. Todibo + J. Gvardiol,501419,J. Todibo,568412,J. Gvardiol,1.0,0.9927007299270073,0.3019178474309432,0.7938314011736081,4.403893606603699,5.607371030954297,0.6035634646002853,0.9135819492998274,0.44499236145242754,1.801722841206919,0.9104505602372321,0.33764806415904025,0.8381388265912336,0.7744032385834103,0.0637355880078233,1.9816385098055609,0.9014214820250687,1.1246562973373664,1.4861769589777742,27,1.6977496268733168,1633,1625,False,right,left,True,0,0.0,none
501419__623641,J. Todibo + E. Agbadou,501419,J. Todibo,623641,E. Agbadou,1.0,0.971573969363627,0.33823378225557726,0.7525444638634728,4.167574431355432,5.548848060769198,0.6035634646002853,-0.19373354629202738,0.9833170035198917,1.2070443486546107,0.6979896075327546,0.30096657842938945,0.7613479117665621,0.9136347745088148,-0.1522868627422525,1.8000792869275795,1.4344822605515475,0.7215480365599726,1.4746939289412484,28,1.6964673386354971,1633,1629,False,right,center,False,0,0.0,none
349142__399581,D. O'Shea + N. Mazraoui,399581,D. O'Shea,349142,N. Mazraoui,1.0,0.9816706730769231,0.31099759615384615,0.7211538461538461,5.472986410341399,7.714948624461385,0.6035634646002853,0.335464313578245,0.5795848620977282,0.7549079966742469,1.8716102941986816,1.658652059271493,0.8943458289438588,0.6436914681664281,0.2506543607774307,2.1145305282265325,0.40097941164252526,1.4734556982152625,1.4722502272490763,29,1.6951850503976773,1634,1611,False,right,right,False,0,0.0,none
424806__568412,E. Pinnock + J. Gvardiol,424806,E. Pinnock,568412,J. Gvardiol,1.0,1.0,0.3612160460514481,0.7839539485518978,3.8091006708297597,4.876232120163461,0.6035634646002853,1.2961581059276701,1.3239916685548123,1.6594524521196286,0.37570650629550145,-0.12062091018969112,1.0295536163962618,0.36001435044583097,0.6695392659504306,2.434206636695326,-0.6851046009859502,2.2551150350290414,1.4625949450576863,30,1.6939027621598577,1669,1625,False,left,left,False,0,0.0,none
8653__349142,H. Maguire + N. Mazraoui,8653,H. Maguire,349142,N. Mazraoui,0.9933333333333334,0.9789102564102564,0.33865384615384614,0.6994871794871795,5.087391503855127,7.309457179972727,-0.09949755129045668,0.19078277851185138,0.9895437673020449,0.44283106601744865,1.5249441334692289,1.4044949550188872,0.8132261700036179,0.7925394458967321,0.020686724106885823,1.9227367167978762,0.9708576246755135,1.0443250512317181,1.4614906560479357,31,1.6926204739220378,1611,1611,True,center,right,False,6,346.0,medium
488453__568412,L. Martínez + J. Gvardiol,488453,L. Martínez,568412,J. Gvardiol,1.0,0.9872881355932204,0.3189597873047524,0.7817381189764041,4.2585621565825384,5.5158991481664525,0.6035634646002853,0.6298920026478233,0.6976113901791937,1.6275366386067684,0.7797914281673078,0.2803146008619064,0.838017035320169,0.7238605975740707,0.11415643774609856,1.981350554797103,0.7079143186791321,1.2187440228230346,1.4467983775668982,32,1.6913381856842182,1611,1625,False,left,left,False,0,0.0,none
346131__568412,T. Chalobah + J. Gvardiol,346131,T. Chalobah,568412,J. Gvardiol,1.0,0.9917355371900827,0.36549991897585477,0.7562793712526332,3.905617408906883,5.231528340080972,0.6035634646002853,0.8629933666052374,1.3874931141276639,1.260840276391377,0.46247914377720983,0.10207443796988586,0.96402564370708,0.47008139276692795,0.4939442509401522,2.2792767491509327,-0.26370277646520707,1.9274463095970447,1.4460168035553131,33,1.6900558974463984,1628,1625,False,right,left,True,0,0.0,none
349142__583655,C. Okoli + N. Mazraoui,583655,C. Okoli,349142,N. Mazraoui,0.9941860465116279,0.9739490161001789,0.30981663685152055,0.7182468694096601,6.273984538850444,8.80914700250256,-0.009571142281177947,-0.06925037972946274,0.5620790620463021,0.7130372099134957,2.5917415544688267,2.3444822907614227,0.9546624237443071,0.48568362000013776,0.4689788037441693,2.257138987881152,-0.2039682102952427,1.8808595869496576,1.4435509482419346,34,1.6887736092085788,1631,1611,False,left,right,True,0,0.0,none
270866__349142,N. Mazraoui + Diego Carlos,349142,N. Mazraoui,270866,Diego Carlos,1.0,0.972419028340081,0.34286437246963564,0.688259109311741,5.14167941945994,7.450510934491781,0.6035634646002853,-0.14944152639104982,1.0519579687485539,0.28110698859206346,1.5737512700785266,1.4929057323109427,0.8551721443442033,0.6848745087081684,0.17029763563603495,2.0219109292880453,0.5586524812338088,1.3235061924993445,1.443252447514034,35,1.687491320970759,1611,1614,False,right,right,False,0,0.0,none
349142__590703,I. Zabarnyi + N. Mazraoui,590703,I. Zabarnyi,349142,N. Mazraoui,0.9977777777777778,0.9789102564102564,0.3008760683760684,0.7128205128205127,6.141563340471603,8.678592490223352,0.3692097926367027,0.19078277851185138,0.42954968210142147,0.6348784079600933,2.472689285704429,2.262652310772973,0.9304859513753332,0.5306032032360136,0.3998827481393197,2.1999777788336505,-0.03198944232682935,1.7519230310281004,1.4407766629243965,36,1.6862090327329393,1659,1611,False,right,right,False,0,0.0,none
370__623641,V. van Dijk + E. Agbadou,370,V. van Dijk,623641,E. Agbadou,1.0,0.9721618300406466,0.42702523868040454,0.7527649116173551,3.222182849043232,4.277865037255541,0.6035634646002853,-0.1629220437448185,2.2995058674265674,1.210219579042386,-0.15195748645921775,-0.4956701181051235,1.0185744767139275,0.33962902411997226,0.6789454525939551,2.408248304604288,-0.7631517032430173,2.2726674307418624,1.4297121274776114,37,1.6849267444951195,1612,1629,False,left,center,False,0,0.0,none
349142__447424,C. Bassey + N. Mazraoui,447424,C. Bassey,349142,N. Mazraoui,0.9948186528497409,0.9674422080510163,0.3270476285372658,0.7088481466719809,5.930365639178746,8.423029581766748,0.05714298592872122,-0.41029127703429213,0.8175004762681439,0.5776622309564561,2.282813602622274,2.102468588895406,0.9190116830574661,0.5389488521662976,0.38006283089116866,2.1728487982290847,-3.735556345883407e-05,1.7149381142154612,1.4294008152885969,38,1.6836444562572999,1616,1611,False,left,right,True,0,0.0,none
346131__623641,T. Chalobah + E. Agbadou,346131,T. Chalobah,623641,E. Agbadou,1.0,0.9706087766267024,0.4018158538004889,0.714992433942498,3.6692982336586164,5.173005369895874,0.6035634646002853,-0.24432212898661726,1.925817756195128,0.6661617838390688,0.2500181910727323,0.06539295224023506,0.8872347288824087,0.5961240906782126,0.291110638204196,2.0977175262729517,0.21886331913661422,1.5489490535327555,1.4243075695840113,39,1.68236216801948,1628,1629,False,right,center,False,0,0.0,none
400549__623641,Pau Torres + E. Agbadou,400549,Pau Torres,623641,E. Agbadou,1.0,0.9788732394366197,0.39906103286384975,0.7669483568075117,3.0104355637520177,3.930195551382698,0.6035634646002853,0.1888426103358154,1.88498201833412,1.4145115501692933,-0.34232726884482295,-0.7135851221512949,0.8991790214025578,0.5661639433519754,0.33301507805058245,2.1259578001743225,0.10415813146240446,1.627144749427673,1.4196552894114172,40,1.6810798797816604,1614,1629,False,left,center,False,0,0.0,none
346131__349142,T. Chalobah + N. Mazraoui,346131,T. Chalobah,349142,N. Mazraoui,1.0,0.9773124602670058,0.3280753337571519,0.680864589955499,5.7058160806710685,8.337888184900946,0.6035634646002853,0.10703759557618157,0.8327345339157739,0.17459965454383686,2.0809340341116322,2.0491029971583914,0.914487528629519,0.5233985444333532,0.3910889841961658,2.162152194809351,-0.05957314313740884,1.735513445466492,1.4103068435567514,41,1.6797975915438406,1628,1611,False,right,right,False,0,0.0,none
