,player.id,player.name,minutes_played,total_duels,yellow_cards,red_cards,duel_success_rate,possession_win_rate,discipline,card_discipline,duels_per90,interceptions_per90,z_duel_success_rate,z_possession_win_rate,z_discipline,z_card_discipline,z_duels_per90,z_interceptions_per90,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score
33,424806,E. Pinnock,1921.0,109,0,0,0.7247706422018348,0.3302752293577982,1.0,1.0,5.106715252472671,3.7011972930765227,0.8070027017266139,0.8653444066210298,1.2961581059276701,0.6035634646002853,0.02384311311578064,0.2786967972297874,1.1519893055598125,7,1.4182211926745951
34,501419,J. Todibo,1877.0,137,0,0,0.7445255474452555,0.2116788321167883,0.9854014598540146,1.0,6.568993074054342,4.890783164624401,1.0915434799011952,-0.8926542075837395,0.5310057926719846,0.6035634646002853,0.9403810618132434,1.3481849051132488,0.5205526918650784,25,0.5812381937190964
35,346131,T. Chalobah,1872.0,121,0,0,0.6694214876033058,0.33884297520661155,0.9834710743801653,1.0,5.8173076923076925,3.894230769230769,0.009778350270111006,0.9923472977667332,0.4298286272828048,0.6035634646002853,0.4692338094349346,0.45224207219320417,0.9358264833490342,14,1.092727804191901
36,620468,J. Greaves,1846.0,93,0,0,0.6451612903225806,0.3225806451612903,0.989247311827957,1.0,4.534127843986998,2.9252437703141925,-0.3396546299374478,0.7512847162001376,0.7325781762716005,0.6035634646002853,-0.33504770850374377,-0.41891830119498424,0.38313822695287897,30,0.3487429162314578
37,8653,H. Maguire,1795.0,75,1,0,0.7066666666666667,0.36,0.9866666666666667,0.9866666666666667,3.7604456824512535,2.6573816155988856,0.5462411732173346,1.305965764539275,0.5973189931541444,-0.8025585671811987,-0.8199822748440739,-0.6597377290916029,0.6017868333617193,22,0.7207353602116795
38,7953,C. Coady,1730.0,58,1,0,0.6551724137931034,0.3275862068965517,0.9482758620689655,0.9827586206896551,3.0173410404624277,1.976878612716763,-0.19545890600943294,0.8254840240933039,-1.414855693624805,-1.2146977833930201,-1.2857512239342732,-1.2715387653752814,-0.5483139084800416,54,-0.7672344157092073
39,364003,S. Bueno,1727.0,134,0,0,0.6716417910447762,0.23880597014925373,0.9552238805970149,1.0,6.98320787492762,4.6902142443543715,0.04175860333814825,-0.49053852635017003,-1.0506896608491005,0.6035634646002853,1.2000058597205805,1.167864946571114,0.14371321248120242,35,0.11624763874381927
40,488453,L. Martínez,1663.0,118,0,0,0.7203389830508474,0.2457627118644068,0.9745762711864406,1.0,6.386049308478653,4.600120264582081,0.7431710747008939,-0.3874161501302071,-0.03637410063202349,0.6035634646002853,0.8257141352189756,1.0868666409734002,0.5201509284075273,26,0.5347391382215686
41,62126,M. Doherty,1661.0,82,0,0,0.6707317073170732,0.2682926829268293,0.9878048780487805,1.0,4.44310656231186,2.980132450331126,0.028650166274352698,-0.05344598891761822,0.656975990586029,0.6035634646002853,-0.39209874050538407,-0.36957105192146406,0.030402199307625607,39,-0.06974858324629156
42,558243,S. van den Berg,1572.0,80,0,0,0.65,0.2,0.9875,1.0,4.580152671755725,2.9770992366412212,-0.2699600300389067,-1.065773890428071,0.6409964377024908,0.6035634646002853,-0.30619990639000116,-0.37229803956280294,-0.6416496488892923,57,-0.9067315822017903
43,288080,C. Burgess,1546.0,57,0,0,0.7368421052631579,0.2807017543859649,1.0,1.0,3.318240620957309,2.445019404915912,0.9808746312980571,0.1304983039633533,1.2961581059276701,0.6035634646002853,-1.0971510275828014,-0.8506603554622046,0.32081912846481364,31,0.3022438607339301
44,283145,T. Adarabioyo,1425.0,68,0,0,0.7058823529411765,0.35294117647058826,1.0,1.0,4.294736842105263,3.031578947368421,0.5349442707501209,1.2013301915260102,1.2961581059276701,0.6035634646002853,-0.485095076085364,-0.323318471011054,1.023315550086802,10,1.278724026182012
45,415847,C. Romero,1421.0,99,2,0,0.6060606060606061,0.29292929292929293,0.9292929292929293,0.9797979797979798,6.270232230823364,3.800140745953554,-0.9028433159862599,0.311751666749933,-2.4098068860531554,-1.5269244623413631,0.7531213999592042,0.3676511541500003,-0.5520007051769191,55,-0.8137334712067349
46,623641,E. Agbadou,1411.0,71,0,0,0.7605633802816901,0.4647887323943662,0.9577464788732395,1.0,4.528703047484054,3.4443656980864636,1.3225452174080266,2.859288214623523,-0.9184728852560393,0.6035634646002853,-0.3384479049544645,0.0477943099522605,1.9909718760072004,3,1.604217414664706
