pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,passes_per90,pass_accuracy_rate,progressive_passes_per90,final_third_passes_per90,progressive_pass_accuracy,long_pass_accuracy,z_passes_per90,z_pass_accuracy_rate,z_progressive_passes_per90,z_final_third_passes_per90,z_progressive_pass_accuracy,z_long_pass_accuracy,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,CB_pair_fit_rank_z_score,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
8582__568412,A. Cresswell + J. Gvardiol,8582,A. Cresswell,568412,J. Gvardiol,68.61287118281835,0.9081079241172734,10.989871017262917,10.967746790482067,0.8074555403556771,0.6005568293481821,1.3666969075319682,0.26189865689530667,1.5881216567607934,1.8085506728959786,1.1733999074073924,0.7097825748185986,1.0619144663407754,0.9198816359442005,0.14203283039657486,2.235405844919486,1.3747203409699977,1.3304373572814097,1.7962064962070243,31,1.7044502650839368,1633,1625,False,left,left,False,0,0.0,none
270866__568412,Diego Carlos + J. Gvardiol,270866,Diego Carlos,568412,J. Gvardiol,71.47730209320355,0.9287613387550828,10.23688517529503,10.000215350159358,0.789860681114551,0.5890847711927982,1.6088144968207545,0.8567446313136854,1.248925754569195,1.4480649180352683,0.9736397082332536,0.5897758902745243,1.0874697502107398,0.8703250151654214,0.21714473504531842,2.289201543859671,1.1838747404876513,1.4721959520292753,1.794202384481986,32,1.7035453273270564,1614,1625,False,right,left,True,0,0.0,none
145787__258154,J. Andersen + Rúben Dias,145787,J. Andersen,258154,Rúben Dias,74.19228902972313,0.9106559078664459,11.536136112146657,12.114414502375839,0.7796252309316443,0.5991430260047281,1.838300252486012,0.3352839978986338,1.8341965115158596,2.2357795550484374,0.8574332902588877,0.6949930880894354,1.1984371503548978,0.6530779575340335,0.5453591928208646,2.5227958518198443,0.34724293397756767,2.091634648568472,1.7838977358168868,33,1.7026403895701763,1616,1625,False,right,right,False,0,0.0,none
568412__590703,J. Gvardiol + I. Zabarnyi,568412,J. Gvardiol,590703,I. Zabarnyi,64.87940653698035,0.9068298581695953,10.974498864421843,11.446627826602153,0.8263728452105918,0.586993970714901,1.051123766470013,0.22508864763777092,1.5811969963476193,1.9869736001516027,1.3881742647277866,0.5679044849872468,1.06853045639028,0.8848900279284257,0.18364042846185413,2.24933297680757,1.2399655021882334,1.4089633201118126,1.7784488030826173,34,1.701735451813296,1625,1659,False,left,right,True,0,0.0,none
568412__653730,J. Gvardiol + A. Khusanov,568412,J. Gvardiol,653730,A. Khusanov,72.08140543666859,0.929926678672498,10.658617698091383,10.144592249855407,0.8011764705882353,0.4952431289640592,1.6598766623178387,0.8903079800799689,1.4389026911601863,1.5018572946985216,1.102111571980378,-0.3918809496323629,1.071845811330439,0.8698614818510273,0.20198432947941178,2.2563120358995437,1.182089645129273,1.4435837393729611,1.771499659363146,35,1.7008305140564157,1625,1625,True,left,right,True,0,0.0,none
71703__568412,V. Lindelöf + J. Gvardiol,71703,V. Lindelöf,568412,J. Gvardiol,63.98437907247485,0.9465870199011281,8.511928550329273,8.961269135201821,0.8161764705882353,0.5962532299741603,0.9754710805324125,1.3701480978561649,0.47188827785182086,1.0609712330654784,1.2724114843893568,0.6647635655451893,1.0072668985863482,0.9816802909738621,0.025586607612486427,2.120368809225052,1.6127107697521699,1.1106685605405404,1.766131347646285,36,1.6999255762995356,1611,1625,False,center,left,False,0,0.0,none
15806__568412,J. Vestergaard + J. Gvardiol,15806,J. Vestergaard,568412,J. Gvardiol,69.04466781898542,0.930664566766498,9.385592728791341,9.382721599016275,0.809863339275104,0.596667823672336,1.4031947543582748,0.9115601444307286,0.8654458890433485,1.2179972512643145,1.2007364370791804,0.6691005393015148,1.0060144345909443,0.967645260590615,0.03836917400032952,2.1177322830031944,1.5586610028555181,1.1347930805734943,1.7534230584729513,37,1.6990206385426554,1631,1625,False,left,left,False,0,0.0,none
447424__568412,C. Bassey + J. Gvardiol,447424,C. Bassey,568412,J. Gvardiol,70.14999016114784,0.9264230117231335,10.584197547404427,10.250220850830441,0.7733319476200373,0.5500726744186046,1.4966227298423864,0.7893976842726654,1.4053788069825965,1.541212714450737,0.7859835838101183,0.18167890126245226,1.0405320873771413,0.9011752058043245,0.13935688157281692,2.190394409037745,1.3026807257415431,1.3253870427321104,1.7510788307877574,38,1.698115700785775,1616,1625,False,left,left,False,0,0.0,none
239411__568412,T. Mings + J. Gvardiol,239411,T. Mings,568412,J. Gvardiol,66.4010578091629,0.928780409958153,9.75117034970265,9.885140334097986,0.7951090548578982,0.5924218123496392,1.179742172458904,0.8572939074780649,1.0301268485445199,1.4051899247258455,1.033226214152027,0.6246839460039716,1.0101459052577422,0.9546304712643081,0.05551543399343421,2.1264293240261853,1.5085402471401916,1.1671531935698398,1.7492073748691181,39,1.6972107630288948,1614,1625,False,left,left,False,0,0.0,none
62126__568412,M. Doherty + J. Gvardiol,62126,M. Doherty,568412,J. Gvardiol,66.28573587444274,0.9156038647342994,10.529070093378214,10.836516219925073,0.8193014705882353,0.5630553979958404,1.1699945228558608,0.47779177571907827,1.3805456621055583,1.7596563948224295,1.307890632807894,0.31748832549598127,1.0370556845217074,0.9046516086597589,0.13240407586194836,2.1830763325742892,1.3160685673666932,1.3122650220386285,1.7488117409048785,40,1.6963058252720147,1629,1625,False,right,left,True,0,0.0,none
402884__568412,K. Walker-Peters + J. Gvardiol,402884,K. Walker-Peters,568412,J. Gvardiol,67.52783400809716,0.941118769883351,8.569331983805668,10.287449392712551,0.8359133126934984,0.5179704016913319,1.2749835469200055,1.2126551812014434,0.4977466782648149,1.5550834358179513,1.496490316506434,-0.15413593371741385,1.0182079080023243,0.9234993851791418,0.09470852282318258,2.143400415981545,1.3886525162129184,1.2411222564276585,1.7365204141401795,41,1.6954008875151343,1619,1625,False,left,left,False,0,0.0,none
