player.id,player.name,minutes_played,total_passes,accurate_passes,progressive_passes,final_third_passes,long_passes,accurate_progressive_passes,accurate_long_passes,passes_per90,pass_accuracy_rate,progressive_passes_per90,final_third_passes_per90,progressive_pass_accuracy,long_pass_accuracy,z_passes_per90,z_pass_accuracy_rate,z_progressive_passes_per90,z_final_third_passes_per90,z_progressive_pass_accuracy,z_long_pass_accuracy,CB_ball_passing_quality_z_score,CB_rank_for_ball_passing_quality,CB_rank_for_ball_passing_quality_z_score
9433,J. Tarkowski,2922.0,1136,978,211,172,178,142,101,34.98973305954826,0.8609154929577465,6.498973305954826,5.297741273100616,0.6729857819905213,0.5674157303370787,-1.4753172311980594,-1.0973065007288487,-0.43488331350038284,-0.303996923816648,-0.35327929734211205,0.3631008058979165,-0.8948849099305147,70,-1.0038669904531692
15806,J. Vestergaard,1396.0,842,771,99,65,67,73,41,54.28366762177651,0.9156769596199525,6.382521489971347,4.19054441260745,0.7373737373737373,0.6119402985074627,0.15551313973733688,0.47989700622181997,-0.48734111095529287,-0.7165196382218387,0.37773824678821616,0.8288625493019803,0.10407107526722091,41,0.13778566535631734
50102,F. Schär,2945.0,1808,1524,298,279,297,204,127,55.25297113752123,0.8429203539823009,9.106960950764007,8.526315789473685,0.6845637583892618,0.4276094276094276,0.23744404952831433,-1.6155905794809875,0.7399312351685396,0.8989150159448215,-0.22183073957019703,-1.099382267449891,-0.4440753347813999,59,-0.5708263279047433
62126,M. Doherty,1661.0,900,797,160,131,123,121,67,48.76580373269115,0.8855555555555555,8.669476219145093,7.098133654425045,0.75625,0.5447154471544715,-0.3108873232674911,-0.3876397312014807,0.5428584351691268,0.36679864889439134,0.5920466382456431,0.12563812169091318,0.19594888693383217,36,0.3346223301510564
71703,V. Lindelöf,699.0,343,325,36,26,18,27,11,44.163090128755364,0.9475218658892128,4.635193133047211,3.347639484978541,0.75,0.6111111111111112,-0.6999342079143877,1.3970729130726924,-1.274456333338348,-1.0305716746195108,0.5210883414085689,0.8201886017893294,0.10777819567460228,40,0.17715299831526515
134102,N. Aké,597.0,427,407,49,56,28,41,18,64.37185929648241,0.9531615925058547,7.386934673366834,8.442211055276381,0.8367346938775511,0.6428571428571429,1.0082230583838088,1.5595045851986253,-0.0348852785526732,0.8675790227864368,1.5058157260863372,1.1522768779879886,1.4883502438276708,8,1.4369076530015952
136441,B. Davies,1350.0,842,759,122,85,81,83,41,56.133333333333326,0.9014251781472684,8.133333333333333,5.666666666666666,0.680327868852459,0.5061728395061729,0.3118571456090098,0.06942663190430232,0.3013433100224806,-0.16654159839323432,-0.2699221807096383,-0.27754764453401665,0.029423341366845893,45,-0.019683666479473904
145787,J. Andersen,2673.0,1882,1649,421,352,376,329,226,63.36700336700337,0.8761955366631243,14.175084175084175,11.851851851851853,0.7814726840855107,0.601063829787234,0.9232870613779353,-0.6572207983655484,3.022957732716931,2.1379531782220695,0.8784080309444312,0.7150861952264554,1.5958179247340643,6,1.5156423189194907
192792,D. Burn,3330.0,1776,1622,192,104,111,120,59,48.0,0.9132882882882883,5.1891891891891895,2.8108108108108105,0.625,0.5315315315315315,-0.3756173025996164,0.4111000759918008,-1.0248989292010204,-1.230584905996966,-0.8980775953329201,-0.012275928411364096,-0.6749212671548093,68,-0.9251323245352736
234399,A. Webster,901.0,613,550,109,116,65,89,32,61.231964483906765,0.8972267536704731,10.887902330743618,11.587125416204216,0.8165137614678899,0.49230769230769234,0.7428217321081645,-0.051493610230832695,1.5421880432829969,2.0393206118692966,1.2762408582067921,-0.42258790875411484,1.2519701411987245,11,1.3188056541247517
239411,T. Mings,1126.0,613,559,89,65,58,63,35,48.99644760213144,0.9119086460032626,7.113676731793961,5.19538188277087,0.7078651685393258,0.603448275862069,-0.29139202406140485,0.37136453231649247,-0.1579791919529502,-0.3421342912987769,0.042717800933909124,0.7400293627068938,0.11629965770758233,39,0.21652033127421297
240032,J. Bednarek,2532.0,1483,1403,113,83,103,66,70,52.71327014218009,0.9460552933243426,4.016587677725118,2.9502369668246446,0.584070796460177,0.6796116504854369,0.02277443390695602,1.3548336610311214,-1.5531181936599798,-1.1786370922068425,-1.3627602471863276,1.5367577220335236,-0.23546669945361215,53,-0.3346223301510564
255738,J. Lerma,497.0,242,199,52,25,42,27,19,43.82293762575453,0.8223140495867769,9.416498993963783,4.527162977867204,0.5192307692307693,0.4523809523809524,-0.7286857842636439,-2.209079715891276,0.8793681674106836,-0.5911012874162895,-2.0989103110372564,-0.8402527792039673,-1.4799408561169618,82,-1.4762749859605429
257899,J. Gomez,421.0,334,300,56,51,31,43,19,71.40142517814726,0.8982035928143712,11.971496437054633,10.902612826603326,0.7678571428571429,0.6129032258064516,1.6024009590777104,-0.02335933594292153,2.030312334623044,1.784282866024434,0.7238263323716392,0.8389355206069953,1.5370081449762942,7,1.4762749859605429
