pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,card_discipline,discipline,possession_win_rate,duel_success_rate,aerial_wins_per90,duels_per90,z_card_discipline,z_discipline,z_possession_win_rate,z_duel_success_rate,z_aerial_wins_per90,z_duels_per90,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
534563__583655,C. Richards + C. Okoli,534563,C. Richards,583655,C. Okoli,1.0,0.9918032786885246,0.2965794451450189,0.5233291298865069,2.526751826306983,4.82728645471983,0.17656294072911694,-0.4004547011237593,-1.3413720011714818,-0.5328110777080489,0.2568693621451192,0.6539689352065561,-0.49450429414866914,0.1636307752262327,-0.6581350693749017,-1.105396413632866,-1.522842646854463,-0.2632875776274789,-1.0622085163982675,1911,1628,1631,False,right,left,True,0,0.0,none
288080__415847,C. Burgess + C. Romero,288080,C. Burgess,415847,C. Romero,1.0,0.9805194805194806,0.3217579521927348,0.5141163184641445,2.2829112016845814,4.446832442215411,0.17656294072911694,-1.6907100111638727,-0.9631476694863261,-0.6573085085323613,-0.07123772549138215,0.30849938746324684,-0.5998138131475447,0.33551940582749995,-0.9353332189750445,-1.3408013757336843,-0.7839020068748683,-0.7835961909402557,-1.0622905281173538,1912,1634,1624,False,left,right,True,0,0.0,none
239411__518805,L. Woolfenden + T. Mings,518805,L. Woolfenden,239411,T. Mings,1.0,0.9918032786885246,0.30230288836846214,0.46545667447306793,1.9707905590510884,4.0395279525544145,0.17656294072911694,-0.4004547011237593,-1.255396074003825,-1.3148711551540042,-0.49122104535161376,-0.06135161479256246,-0.8045703512536021,0.6672192023534007,-1.471789553607003,-1.798506486828778,0.6420588555077502,-1.7905396066082275,-1.0647435080837095,1913,1634,1614,False,right,left,True,0,0.0,none
7953__534563,C. Richards + C. Coady,534563,C. Richards,7953,C. Coady,1.0,1.0,0.31120062370062374,0.48544698544698545,1.724596186051537,3.3923342877208142,0.17656294072911694,0.53680623164123,-1.121736838643264,-1.0447318628647009,-0.8224952899220823,-0.6490328991102084,-0.718494932260381,0.5256197474631551,-1.2441146797235363,-1.6060967128735133,0.033329869469807975,-1.3631875550618964,-1.0656869066081935,1914,1628,1631,False,right,right,False,0,0.0,none
258154__288080,Rúben Dias + C. Burgess,258154,Rúben Dias,288080,C. Burgess,1.0,0.9939024390243902,0.33624955814775537,0.4864793213149523,1.7794120321846503,3.629674174751101,0.17656294072911694,-0.16042446224492046,-0.7454589095056382,-1.0307813804964532,-0.7487361791958953,-0.4335174866322054,-0.6211152221204492,0.3555485203643189,-0.9766637424847681,-1.3884177490647045,-0.6977978436018818,-0.8611747296348888,-1.0757831735398946,1915,1625,1634,False,right,left,True,0,0.0,none
288080__583655,C. Burgess + C. Okoli,288080,C. Burgess,583655,C. Okoli,1.0,0.9918032786885246,0.3069612734616298,0.514967925873129,2.2662060706033884,4.405788709558969,0.17656294072911694,-0.4004547011237593,-1.1854191454569327,-0.6458003022282393,-0.09371581713884243,0.2712298113975888,-0.553380328826106,0.24421182426399318,-0.7975921530900992,-1.2370057006531254,-1.1764287407229028,-0.5250523908095538,-1.0764419507053442,1916,1634,1631,False,left,left,False,0,0.0,none
50102__364003,F. Schär + S. Bueno,50102,F. Schär,364003,S. Bueno,1.0,1.0,0.3271794871794872,0.48792540792540795,2.0184289664894814,4.139315357898079,0.17656294072911694,0.53680623164123,-0.8817069215028932,-1.0112396728138053,-0.4271197531717041,0.029259887942353804,-0.5006504140332592,0.15624152014484485,-0.656891934178104,-1.119135220269277,-1.554608685479085,-0.2609541783918088,-1.0781410514567258,1917,1613,1629,False,right,center,False,0,0.0,none
258154__557788,Rúben Dias + W. Fofana,258154,Rúben Dias,557788,W. Fofana,1.0,0.9800135501355014,0.3434959349593496,0.5172764227642277,1.817753469486698,3.4833343433731287,0.17656294072911694,-1.7485610427633735,-0.6366059095438052,-0.6146044035137513,-0.6971447048529583,-0.5664007095746707,-0.6641445359319186,0.414503283906027,-1.0786478198379454,-1.4846038686416188,-0.44435425894495534,-1.0526016707748571,-1.0861285461592673,1918,1625,1610,False,right,right,False,0,0.0,none
285382__412027,W. Faes + E. Konsa,285382,W. Faes,412027,E. Konsa,1.0,1.0,0.3390227576974565,0.5396028558679161,1.2580105074340449,2.329917819542816,0.17656294072911694,0.53680623164123,-0.7038006990197058,-0.3128958985363064,-1.4503236855438253,-1.6137553746610052,-0.6164965974247979,0.3310459230788782,-0.9475425205036762,-1.3780934480729838,-0.8031332858352108,-0.8065133884649992,-1.0912893874800549,1919,1631,1614,False,right,right,False,0,0.0,none
15806__286380,J. Vestergaard + I. Diop,15806,J. Vestergaard,286380,I. Diop,1.0,1.0,0.32152777777777775,0.5486111111111112,1.6745401092872894,3.0528541451411892,0.17656294072911694,0.53680623164123,-0.9666052837167153,-0.19116273994096483,-0.8898497497913493,-0.9572963093257992,-0.5344145734532909,0.1944963041999285,-0.7289108776532195,-1.1946103600685902,-1.3901532790158242,-0.39613573233018073,-1.0935783102050785,1920,1631,1616,False,left,right,True,0,0.0,none
285382__364003,W. Faes + S. Bueno,285382,W. Faes,364003,S. Bueno,1.0,1.0,0.3179116465863454,0.5177510040160642,1.678133445166496,3.271251703835948,0.17656294072911694,0.53680623164123,-1.0209257722418457,-0.6081911444267778,-0.8850146286049103,-0.758981392540305,-0.6162756654777338,0.3255147284287466,-0.9417903939064803,-1.3775995850573715,-0.8269116154450449,-0.7957164873395635,-1.0960165746301118,1921,1631,1629,False,right,center,False,0,0.0,none
285382__534563,W. Faes + C. Richards,285382,W. Faes,534563,C. Richards,1.0,1.0,0.2936167747914736,0.5403151065801668,2.022445065446924,3.746902310744368,0.17656294072911694,0.53680623164123,-1.385876387883114,-0.30327089052162404,-0.4217157704078516,-0.32706900720155496,-0.5703382629077132,0.24948402943670572,-0.8198222923444188,-1.2749128325794572,-1.1537637939442809,-0.5667789786163254,-1.096941350196278,1922,1631,1628,False,right,right,False,0,0.0,none
400549__534563,Pau Torres + C. Richards,400549,Pau Torres,534563,C. Richards,1.0,1.0,0.3077686202686203,0.46764346764346765,1.8636925575001615,3.829215525274239,0.17656294072911694,0.53680623164123,-1.1732914126277616,-1.2853199010386667,-0.6353299830439256,-0.2523248645133448,-0.7169110412983385,0.48794765471196416,-1.2048586960103027,-1.6025561422258074,-0.12862057617374725,-1.289502985090831,-1.0977648409831942,1923,1614,1628,False,left,right,True,0,0.0,none
534563__549884,T. Harwood-Bellis + C. Richards,549884,T. Harwood-Bellis,534563,C. Richards,1.0,1.0,0.2872498436522827,0.5131332082551594,2.259785422141432,4.380223666791804,0.17656294072911694,0.53680623164123,-1.4815186064801988,-0.6705937794040414,-0.10235531382177868,0.24801558977676097,-0.5718650890074338,0.24099157008499744,-0.8128566590924313,-1.2783258425671216,-1.1902724526403246,-0.5537042918501439,-1.106985515445687,1924,1619,1628,False,right,right,False,0,0.0,none
549884__558243,T. Harwood-Bellis + S. van den Berg,549884,T. Harwood-Bellis,558243,S. van den Berg,1.0,1.0,0.2901721664275466,0.47919655667144906,2.325420008714878,4.8701644529800046,0.17656294072911694,0.53680623164123,-1.4376203095498896,-1.129197102456579,-0.014038721448430436,0.6929041078692673,-0.5904850090270802,0.2689031091848279,-0.8593881182119083,-1.319948115731164,-1.0702821397668205,-0.6410451309026379,-1.1092677259761559,1925,1619,1669,False,right,left,True,0,0.0,none
